matrix,mode,schedule,chunk_size,num_threads,90percentile
pdb1HYS.mtx,parallel,static,1000,8,0.001313
pdb1HYS.mtx,parallel,static,1000,16,0.001094
pdb1HYS.mtx,parallel,static,1000,32,0.001444
pdb1HYS.mtx,parallel,dynamic,1,1,0.006850
pdb1HYS.mtx,parallel,dynamic,1,2,0.006689
pdb1HYS.mtx,parallel,dynamic,1,4,0.009079
pdb1HYS.mtx,parallel,dynamic,1,8,0.008056
pdb1HYS.mtx,parallel,dynamic,1,16,0.006231
pdb1HYS.mtx,parallel,dynamic,1,32,0.005411
pdb1HYS.mtx,parallel,dynamic,10,1,0.006116
pdb1HYS.mtx,parallel,dynamic,10,2,0.003700
pdb1HYS.mtx,parallel,dynamic,10,4,0.002486
pdb1HYS.mtx,parallel,dynamic,10,8,0.001844
pdb1HYS.mtx,parallel,dynamic,10,16,0.001745
pdb1HYS.mtx,parallel,dynamic,10,32,0.001805
pdb1HYS.mtx,parallel,dynamic,100,1,0.005928
pdb1HYS.mtx,parallel,dynamic,100,2,0.003119
pdb1HYS.mtx,parallel,dynamic,100,4,0.001850
pdb1HYS.mtx,parallel,dynamic,100,8,0.001710
pdb1HYS.mtx,parallel,dynamic,100,16,0.001487
pdb1HYS.mtx,parallel,dynamic,100,32,0.002597
pdb1HYS.mtx,parallel,dynamic,1000,1,0.006070
pdb1HYS.mtx,parallel,dynamic,1000,2,0.003089
pdb1HYS.mtx,parallel,dynamic,1000,4,0.001857
pdb1HYS.mtx,parallel,dynamic,1000,8,0.001624
pdb1HYS.mtx,parallel,dynamic,1000,16,0.001514
pdb1HYS.mtx,parallel,dynamic,1000,32,0.002122
pdb1HYS.mtx,parallel,guided,1,1,0.005933
pdb1HYS.mtx,parallel,guided,1,2,0.003135
pdb1HYS.mtx,parallel,guided,1,4,0.001885
pdb1HYS.mtx,parallel,guided,1,8,0.001405
pdb1HYS.mtx,parallel,guided,1,16,0.001173
pdb1HYS.mtx,parallel,guided,1,32,0.002854
pdb1HYS.mtx,parallel,guided,10,1,0.005934
pdb1HYS.mtx,parallel,guided,10,2,0.003082
pdb1HYS.mtx,parallel,guided,10,4,0.002014
pdb1HYS.mtx,parallel,guided,10,8,0.001302
pdb1HYS.mtx,parallel,guided,10,16,0.001170
pdb1HYS.mtx,parallel,guided,10,32,0.002144
pdb1HYS.mtx,parallel,guided,100,1,0.005995
pdb1HYS.mtx,parallel,guided,100,2,0.003122
pdb1HYS.mtx,parallel,guided,100,4,0.002064
pdb1HYS.mtx,parallel,guided,100,8,0.001289
pdb1HYS.mtx,parallel,guided,100,16,0.001162
pdb1HYS.mtx,parallel,guided,100,32,0.002079
pdb1HYS.mtx,parallel,guided,1000,1,0.005944
pdb1HYS.mtx,parallel,guided,1000,2,0.003117
pdb1HYS.mtx,parallel,guided,1000,4,0.001945
pdb1HYS.mtx,parallel,guided,1000,8,0.001382
pdb1HYS.mtx,parallel,guided,1000,16,0.001320
