matrix,mode,schedule,chunk_size,num_threads,run_number,l1_loads,l1_misses,l1_miss_rate_percent,llc_loads,llc_misses,llc_miss_rate_percent
pdb1HYS.mtx,parallel,dynamic,1,16,4,1643252044,5775291,0.3515,329299,217074,65.9200
pdb1HYS.mtx,parallel,dynamic,1,16,5,1643248182,5801913,0.3531,331232,218195,65.8738
pdb1HYS.mtx,parallel,dynamic,1,32,1,1652096118,6291725,0.3808,410995,237891,57.8817
pdb1HYS.mtx,parallel,dynamic,1,32,2,1645679897,5920221,0.3597,348242,200569,57.5947
pdb1HYS.mtx,parallel,dynamic,1,32,3,1646118623,5900271,0.3584,352087,199829,56.7556
pdb1HYS.mtx,parallel,dynamic,1,32,4,1652132266,6248970,0.3782,432170,241122,55.7933
pdb1HYS.mtx,parallel,dynamic,1,32,5,1646000967,5811296,0.3531,349211,200117,57.3055
pdb1HYS.mtx,parallel,dynamic,10,1,1,1641338046,5035311,0.3068,24881,10171,40.8786
pdb1HYS.mtx,parallel,dynamic,10,1,2,1641338047,4971519,0.3029,25150,10200,40.5567
pdb1HYS.mtx,parallel,dynamic,10,1,3,1641338047,5032907,0.3066,25661,10512,40.9649
pdb1HYS.mtx,parallel,dynamic,10,1,4,1641338049,4988766,0.3039,24666,10187,41.2998
pdb1HYS.mtx,parallel,dynamic,10,1,5,1641338046,5023818,0.3061,25249,10559,41.8195
pdb1HYS.mtx,parallel,dynamic,10,2,1,1641415811,5132213,0.3127,44504,15514,34.8598
pdb1HYS.mtx,parallel,dynamic,10,2,2,1641435190,5103514,0.3109,45682,15784,34.5519
pdb1HYS.mtx,parallel,dynamic,10,2,3,1641431544,5138081,0.3130,45277,15549,34.3419
pdb1HYS.mtx,parallel,dynamic,10,2,4,1641436436,5138109,0.3130,45050,15731,34.9190
pdb1HYS.mtx,parallel,dynamic,10,2,5,1641436314,5122715,0.3121,45103,15648,34.6939
pdb1HYS.mtx,parallel,dynamic,10,4,1,1641619395,5183081,0.3157,55910,26193,46.8485
pdb1HYS.mtx,parallel,dynamic,10,4,2,1641632564,5107702,0.3111,55113,25792,46.7984
pdb1HYS.mtx,parallel,dynamic,10,4,3,1641590392,5098972,0.3106,55372,25801,46.5958
pdb1HYS.mtx,parallel,dynamic,10,4,4,1641633655,5166218,0.3147,54952,25747,46.8536
pdb1HYS.mtx,parallel,dynamic,10,4,5,1641591860,5136989,0.3129,55205,25885,46.8889
pdb1HYS.mtx,parallel,dynamic,10,8,1,1642027359,5126614,0.3122,64776,35467,54.7533
pdb1HYS.mtx,parallel,dynamic,10,8,2,1643513847,5462492,0.3324,85554,48261,56.4100
pdb1HYS.mtx,parallel,dynamic,10,8,3,1641941291,5147320,0.3135,64566,35546,55.0537
pdb1HYS.mtx,parallel,dynamic,10,8,4,1642057507,5159151,0.3142,64933,35849,55.2092
pdb1HYS.mtx,parallel,dynamic,10,8,5,1642059976,5171887,0.3150,62799,31848,50.7142
pdb1HYS.mtx,parallel,dynamic,10,16,1,1642999688,5169688,0.3146,77106,38011,49.2971
pdb1HYS.mtx,parallel,dynamic,10,16,2,1642966291,5228427,0.3182,75136,35342,47.0374
pdb1HYS.mtx,parallel,dynamic,10,16,3,1643012501,5200114,0.3165,75457,36219,47.9995
pdb1HYS.mtx,parallel,dynamic,10,16,4,1643080498,5194948,0.3162,76950,35865,46.6082
pdb1HYS.mtx,parallel,dynamic,10,16,5,1643063016,5214046,0.3173,75589,34751,45.9736
pdb1HYS.mtx,parallel,dynamic,10,32,1,1651626121,5564401,0.3369,110053,46118,41.9053
pdb1HYS.mtx,parallel,dynamic,10,32,2,1651665116,5558292,0.3365,110801,46739,42.1828
pdb1HYS.mtx,parallel,dynamic,10,32,3,1651778686,5605189,0.3393,108955,46090,42.3019
pdb1HYS.mtx,parallel,dynamic,10,32,4,1651906026,5534717,0.3351,111045,47419,42.7025
pdb1HYS.mtx,parallel,dynamic,10,32,5,1645084597,5255661,0.3195,86380,35059,40.5869
pdb1HYS.mtx,parallel,dynamic,100,1,1,1641295448,5321717,0.3242,39051,19128,48.9821
pdb1HYS.mtx,parallel,dynamic,100,1,2,1641295448,5405829,0.3294,39514,18614,47.1074
pdb1HYS.mtx,parallel,dynamic,100,1,3,1641295445,5309610,0.3235,38920,18000,46.2487
pdb1HYS.mtx,parallel,dynamic,100,1,4,1641295451,5412643,0.3298,38211,18297,47.8841
pdb1HYS.mtx,parallel,dynamic,100,1,5,1641295443,5286192,0.3221,39557,18807,47.5441
pdb1HYS.mtx,parallel,dynamic,100,2,1,1641598464,5374691,0.3274,42826,18913,44.1624
pdb1HYS.mtx,parallel,dynamic,100,2,2,1641601423,5374245,0.3274,43404,18903,43.5513
pdb1HYS.mtx,parallel,dynamic,100,2,3,1641601984,5410729,0.3296,44058,19463,44.1759
pdb1HYS.mtx,parallel,dynamic,100,2,4,1641602168,5315651,0.3238,42875,18909,44.1026
pdb1HYS.mtx,parallel,dynamic,100,2,5,1641602043,5414956,0.3299,42829,19088,44.5679
pdb1HYS.mtx,parallel,dynamic,100,4,1,1642222542,5384808,0.3279,48980,23622,48.2278
pdb1HYS.mtx,parallel,dynamic,100,4,2,1642213250,5362056,0.3265,49479,23569,47.6343
pdb1HYS.mtx,parallel,dynamic,100,4,3,1642209297,5360265,0.3264,49393,23463,47.5027
pdb1HYS.mtx,parallel,dynamic,100,4,4,1641547241,5068182,0.3087,33066,14672,44.3719
